String	Fitness
11100000011111111111011001101110010100000000011101	-7
10011101111110101111000011011011001110100100110001	-29
01001100101010111010101010111011101100101111000100	-27
00110111001100010100011111000111111001011100110101	-28
00001101100110011011011011000101110001101000110110	-25
00010000101111110100000111111001010110100110111011	-27
00000001101111100100000000011100101111011011100001	-22
01011111111110100101101011111110111100110100111111	-36
10100110111111001011001010110000110011011100100001	-26
11100001000100111100010011101110010110110111011011	-28
00101101000001101101111011100010011010000101000101	-23
01010001110111110001011001111000100000100110010101	-24
11110001110111011100100011101110010010110100111001	-29
00101100101100011010110101101100010111110010011011	-27
11000111100001010000110110100010010011101000101101	-23
01000011101000010001011000110111111101110011101010	-26
10011000101110010011111111111101010101000110010001	-28
11010110010001110111111010001111000101010110101000	-27
01110100011101101011110010010101100011011000110000	-25
11111000001011111011111100010100100111111001110001	-30
10010100100000111101010111010001100111101001000010	-23
01010011100111011010100001000101000101011000011111	-24
10100010011001001111111110101010111001000000000000	-22
10011000011111000111011110001011101100011001000110	-26
10011101110100111000101010001110111010010110000101	-26
10010011110011001010010110000110100110011101001010	-24
10101110011110000010011001001000000010100100111010	-21
00011001111010010010100101110110100001110001000100	-22
11001110000011001111110011110111010111100011101010	-30
11111011100100110101100110100110011110001111000110	-29
10010111101110000101101001110001001101101011001101	-27
00111000000010011000100110100001100011110010101001	-20
11110011010010000101000011001010100100010100000111	-21
10100001000101000000010001001110011000101101110011	-20
10110110011001101100000110001111110110110101101011	-29
00110111001111111111011111101101100010110100100111	-33
01110100011101000010110111101011100011100000100110	-25
10111110010001111011101000110101111010111011011100	-31
01101100100110100101010111110001100111011110111101	-30
10010101001101011000011010011111000110011110000000	-23
10111000111110100000100001001001101001011101001110	-24
00101001010101111100100011010010001010111111001000	-24
11100011101110011001000001001101010001101001110011	-25
11011010110100000110000001100110110001000010110000	-20
10111010011010111000011001010000001010011011100101	-24
01111010111011110111100100110110100111010111010011	-32
00101110110010110100111100110111101110110001110111	-31
10011000011100101011100110110110111001010011101010	-27
00000110111111101010011111111010101011001000010001	-27
01101100011100000101111000001011001111001000011010	-23
10100110100011000101111010010111110100101110110001	-27
01101101011111101110011011011011000011001011010101	-30
01001101001010100011101100011100101010001000101010	-22
00101000011010011100110110100100001011001011001100	-22
01100010011000011100001110101111011010011101000100	-24
01111001100000010101010010011111011110011110111111	-30
11101001110001111001011101010001110111000110111110	-30
01011001001010011010011110110011000011110010101011	-26
11100000011011001000000111000001110110100011100011	-2
11011011110011100010010110111111110011000111111100	-32
00011000001101101000010110011111010100111100101001	-24
11100001101110101010011001000100000100011011110010	-23
01011000011001101011011110100011000111101111110000	-27
00000000001001111001001100101011111001110001010100	-21
01111100011001001101011110111010000011001010011011	-27
10100000010100010110100000000001100011000011011001	-17
00010010001110011101011000110110011011110111100011	-27
01100010001000110011100011111001101011000111001100	-24
00000001111010100001110101100011110011111111111010	-28
01100110001100100110111011001010010010011111101011	-27
00011001110011111010100011010111101110111010100011	-29
11001111010100100000111010001110010001001001101011	-24
10010010101010010011000001100100100000110110010000	-18
00101011010010100000000100100011111001101110000110	-21
10101010111101111100000000001010001101010000010001	-21
00000001110001101100000000111000001010101000011000	-16
00100010010001010101101101100000101110011001000011	-21
10001001011011111110100101110011000101000010111101	-27
00110001111000011000010100101011001000001101101011	-22
11011000100001110111000001001101001100000011010000	-20
01101100001101101000100011101011110100011011100110	-26
01011100110100001011001011000010001001000010000001	-18
10011111100000000100100010010001101110000110101111	-23
00001000110111101110110000111001100011100011000100	-23
10100110100000100001111001010001101100110011000100	-21
01101011110011101010001100111101110001111010111110	-31
01000000111101000100110001001000101001100111001001	-20
01011001110011000100010111101001000101000110100101	-23
00001100100111110001101101000101111000001110000111	-24
00001000010000101000100111101000111101001110001001	-20
10100100001100111010110110111001001001111011000100	-25
00111011001101010101001011111001110100110000100010	-25
11011010101101010011001111101010001100100110001001	-26
01100101111000001110110110100100000000000011110111	-23
00011011101111110000111101111010110010110011000000	-27
11010111100101010001010010100010000111001001100111	-24
10101101101101011110100000100011000010010001011100	-23
11011101100111110111001111001000000111010100110101	-29
01011000100101000101011011011100010010101110111001	-25
00111010110110101010000111011100100011000110111100	-26
